Xco2,Latitude,Longitude,quality_flag,DateTime,Year,Month,Day
405.0667,-2.645513,-177.73557,0,1/1/2018 1:20,2018,1,1
405.04532,-2.4761665,-177.77281,0,1/1/2018 1:20,2018,1,1
405.56757,-2.3244605,-177.80734,0,1/1/2018 1:20,2018,1,1
405.4892,-2.0793135,-177.86325,0,1/1/2018 1:21,2018,1,1
405.4182,-1.9968779,-177.88144,0,1/1/2018 1:21,2018,1,1
405.24686,-1.9038463,-177.9027,0,1/1/2018 1:21,2018,1,1
404.98334,-1.8107785,-177.9237,0,1/1/2018 1:21,2018,1,1
405.32452,-1.6775212,-177.95467,0,1/1/2018 1:21,2018,1,1
405.08215,-1.616236,-177.96646,0,1/1/2018 1:21,2018,1,1
405.4856,-1.518205,-177.98775,0,1/1/2018 1:21,2018,1,1
405.07614,-1.001827,-178.1057,0,1/1/2018 1:21,2018,1,1
405.09192,-0.9086138,-178.12679,0,1/1/2018 1:21,2018,1,1
404.69516,-0.65296286,-178.1878,0,1/1/2018 1:21,2018,1,1
406.0269,-0.3062604,-178.26674,0,1/1/2018 1:21,2018,1,1
403.92148,-0.2048562,-178.28868,0,1/1/2018 1:21,2018,1,1
404.66434,-0.14366771,-178.29944,0,1/1/2018 1:21,2018,1,1
405.4495,-0.06452051,-178.31555,0,1/1/2018 1:21,2018,1,1
405.4841,0.24937244,-178.39142,0,1/1/2018 1:21,2018,1,1
404.52377,0.36099178,-178.417,0,1/1/2018 1:21,2018,1,1
405.55045,0.5681498,-178.46686,0,1/1/2018 1:21,2018,1,1
404.76535,0.6724982,-178.48357,0,1/1/2018 1:21,2018,1,1
405.81046,0.9729185,-178.55397,0,1/1/2018 1:21,2018,1,1
404.50772,1.5384122,-178.68227,0,1/1/2018 1:22,2018,1,1
404.51596,1.7192054,-178.72755,0,1/1/2018 1:22,2018,1,1
405.9818,1.8178353,-178.74586,0,1/1/2018 1:22,2018,1,1
406.14267,2.01962,-178.79988,0,1/1/2018 1:22,2018,1,1
404.7413,2.1439378,-178.82303,0,1/1/2018 1:22,2018,1,1
405.8506,2.4469743,-178.88779,0,1/1/2018 1:22,2018,1,1
403.48987,3.0406997,-179.03621,0,1/1/2018 1:22,2018,1,1
405.65094,3.216245,-179.0749,0,1/1/2018 1:22,2018,1,1
405.82843,3.407102,-179.11444,0,1/1/2018 1:22,2018,1,1
407.1726,4.9537287,-179.46823,0,1/1/2018 1:23,2018,1,1
406.29214,5.104917,-179.50725,0,1/1/2018 1:23,2018,1,1
405.9407,14.992172,178.05771,0,1/1/2018 1:26,2018,1,1
405.20007,15.178395,178.00098,0,1/1/2018 1:26,2018,1,1
406.32288,16.164566,177.7708,0,1/1/2018 1:26,2018,1,1
406.54053,16.487131,177.66315,0,1/1/2018 1:26,2018,1,1
406.0739,16.565138,177.6552,0,1/1/2018 1:26,2018,1,1
406.20032,16.937267,177.53886,0,1/1/2018 1:26,2018,1,1
406.5972,16.996525,177.53613,0,1/1/2018 1:26,2018,1,1
406.6259,17.076862,177.51842,0,1/1/2018 1:26,2018,1,1
406.8499,17.135117,177.51457,0,1/1/2018 1:26,2018,1,1
406.13318,17.288889,177.4578,0,1/1/2018 1:26,2018,1,1
406.666,17.465137,177.40735,0,1/1/2018 1:26,2018,1,1
406.14676,17.538479,177.40921,0,1/1/2018 1:26,2018,1,1
406.59222,17.769299,177.32352,0,1/1/2018 1:26,2018,1,1
406.89856,17.82416,177.32953,0,1/1/2018 1:27,2018,1,1
406.69464,17.951357,177.29414,0,1/1/2018 1:27,2018,1,1
406.43536,18.042376,177.26941,0,1/1/2018 1:27,2018,1,1
406.5171,18.122307,177.25204,0,1/1/2018 1:27,2018,1,1
407.24295,18.297981,177.17921,0,1/1/2018 1:27,2018,1,1
406.5028,18.367508,177.16885,0,1/1/2018 1:27,2018,1,1
406.3087,18.517128,177.11919,0,1/1/2018 1:27,2018,1,1
406.64935,18.637274,177.08186,0,1/1/2018 1:27,2018,1,1
406.52472,18.706978,177.07231,0,1/1/2018 1:27,2018,1,1
406.188,18.798014,177.04745,0,1/1/2018 1:27,2018,1,1
405.80978,18.976313,177.0079,0,1/1/2018 1:27,2018,1,1
406.7856,19.085455,176.97795,0,1/1/2018 1:27,2018,1,1
406.39987,19.177027,176.95297,0,1/1/2018 1:27,2018,1,1
406.41992,19.268488,176.92792,0,1/1/2018 1:27,2018,1,1
407.6342,19.601164,176.82803,0,1/1/2018 1:27,2018,1,1
406.79315,19.681013,176.81026,0,1/1/2018 1:27,2018,1,1
406.4454,19.771841,176.78484,0,1/1/2018 1:27,2018,1,1
406.35202,19.852036,176.76736,0,1/1/2018 1:27,2018,1,1
406.2607,19.961424,176.73761,0,1/1/2018 1:27,2018,1,1
405.93958,20.22401,176.64545,0,1/1/2018 1:27,2018,1,1
405.83173,20.24857,176.6667,0,1/1/2018 1:27,2018,1,1
406.04633,20.645334,176.54153,0,1/1/2018 1:27,2018,1,1
406.1168,20.702707,176.5396,0,1/1/2018 1:27,2018,1,1
405.80975,20.793682,176.51422,0,1/1/2018 1:27,2018,1,1
406.26254,20.873186,176.4964,0,1/1/2018 1:27,2018,1,1
405.47397,23.398325,175.74937,0,1/1/2018 1:28,2018,1,1
405.92404,23.517899,175.70871,0,1/1/2018 1:28,2018,1,1
405.95163,23.585537,175.69904,0,1/1/2018 1:28,2018,1,1
405.99933,23.65304,175.68909,0,1/1/2018 1:28,2018,1,1
406.29614,23.852587,175.63081,0,1/1/2018 1:28,2018,1,1
406.50174,25.200779,175.2232,0,1/1/2018 1:29,2018,1,1
407.62286,28.71982,174.09659,0,1/1/2018 1:30,2018,1,1
402.23218,-78.37403,-167.38318,0,1/1/2018 2:36,2018,1,1
402.16556,-72.68319,-177.33951,0,1/1/2018 2:38,2018,1,1
400.7718,-72.39908,-177.96275,0,1/1/2018 2:38,2018,1,1
403.15823,-52.335537,170.1311,0,1/1/2018 2:44,2018,1,1
403.05423,-52.24038,169.95947,0,1/1/2018 2:44,2018,1,1
403.26648,-52.114227,170.07309,0,1/1/2018 2:44,2018,1,1
403.3654,-52.026142,170.01895,0,1/1/2018 2:44,2018,1,1
402.9121,-51.922493,169.93666,0,1/1/2018 2:45,2018,1,1
403.25543,-51.71472,169.93005,0,1/1/2018 2:45,2018,1,1
403.66443,-51.618114,169.78366,0,1/1/2018 2:45,2018,1,1
403.3468,-51.4956,169.85092,0,1/1/2018 2:45,2018,1,1
403.6108,-51.414845,169.73392,0,1/1/2018 2:45,2018,1,1
